area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
882.0,2667.0,2709.0,1323.0,1344.0,2688.0,1333.5,#56ae57,2_27,42.0,21.0,42.0_21.0,1,46,6
882.0,18228.0,18270.0,1827.0,1848.0,18249.0,1837.5,#acc2d9,2_4,42.0,21.0,42.0_21.0,0,39,9
882.0,18606.0,18648.0,2037.0,2058.0,18627.0,2047.5,#acc2d9,2_21,42.0,21.0,42.0_21.0,0,39,10
882.0,3087.0,3129.0,2373.0,2394.0,3108.0,2383.5,#56ae57,2_33,42.0,21.0,42.0_21.0,1,46,7
882.0,12159.0,12201.0,1365.0,1386.0,12180.0,1375.5,#acc2d9,2_12,42.0,21.0,42.0_21.0,0,39,11
882.0,19278.0,19320.0,2415.0,2436.0,19299.0,2425.5,#acc2d9,2_1,42.0,21.0,42.0_21.0,0,39,12
882.0,3171.0,3192.0,8190.0,8232.0,3181.5,8211.0,#56ae57,1_12,21.0,42.0,21.0_42.0,1,31,6
882.0,17703.0,17745.0,1533.0,1554.0,17724.0,1543.5,#acc2d9,2_29,42.0,21.0,42.0_21.0,0,39,13
882.0,12474.0,12516.0,9198.0,9219.0,12495.0,9208.5,#56ae57,2_28,42.0,21.0,42.0_21.0,1,46,8
882.0,17136.0,17178.0,1218.0,1239.0,17157.0,1228.5,#acc2d9,2_24,42.0,21.0,42.0_21.0,0,39,14
882.0,12810.0,12831.0,1533.0,1575.0,12820.5,1554.0,#acc2d9,1_5,21.0,42.0,21.0_42.0,0,25,2
882.0,18039.0,18081.0,1722.0,1743.0,18060.0,1732.5,#acc2d9,2_31,42.0,21.0,42.0_21.0,0,39,15
882.0,12075.0,12117.0,2394.0,2415.0,12096.0,2404.5,#56ae57,2_39,42.0,21.0,42.0_21.0,1,46,9
882.0,3402.0,3423.0,2079.0,2121.0,3412.5,2100.0,#56ae57,1_20,21.0,42.0,21.0_42.0,1,31,7
882.0,3276.0,3297.0,1407.0,1449.0,3286.5,1428.0,#56ae57,1_6,21.0,42.0,21.0_42.0,1,31,8
882.0,2520.0,2541.0,2268.0,2310.0,2530.5,2289.0,#56ae57,1_23,21.0,42.0,21.0_42.0,1,31,9
882.0,2457.0,2499.0,2226.0,2247.0,2478.0,2236.5,#56ae57,2_25,42.0,21.0,42.0_21.0,1,46,10
882.0,2457.0,2478.0,1470.0,1512.0,2467.5,1491.0,#56ae57,1_7,21.0,42.0,21.0_42.0,1,31,10
882.0,2352.0,2373.0,1995.0,2037.0,2362.5,2016.0,#56ae57,1_14,21.0,42.0,21.0_42.0,1,31,11
882.0,18501.0,18543.0,8127.0,8148.0,18522.0,8137.5,#56ae57,2_40,42.0,21.0,42.0_21.0,1,46,11
882.0,18942.0,18984.0,2226.0,2247.0,18963.0,2236.5,#acc2d9,2_15,42.0,21.0,42.0_21.0,0,39,16
882.0,16611.0,16653.0,924.0,945.0,16632.0,934.5,#acc2d9,2_36,42.0,21.0,42.0_21.0,0,39,17
882.0,2373.0,2415.0,8232.0,8253.0,2394.0,8242.5,#56ae57,2_30,42.0,21.0,42.0_21.0,1,46,12
882.0,12012.0,12054.0,9198.0,9219.0,12033.0,9208.5,#56ae57,2_2,42.0,21.0,42.0_21.0,1,46,13
882.0,11844.0,11886.0,9093.0,9114.0,11865.0,9103.5,#56ae57,2_13,42.0,21.0,42.0_21.0,1,46,14
882.0,15519.0,15561.0,315.0,336.0,15540.0,325.5,#acc2d9,2_9,42.0,21.0,42.0_21.0,0,39,18
882.0,12012.0,12054.0,8169.0,8190.0,12033.0,8179.5,#56ae57,2_19,42.0,21.0,42.0_21.0,1,46,15
882.0,18753.0,18795.0,2121.0,2142.0,18774.0,2131.5,#acc2d9,2_8,42.0,21.0,42.0_21.0,0,39,19
882.0,16086.0,16128.0,630.0,651.0,16107.0,640.5,#acc2d9,2_41,42.0,21.0,42.0_21.0,0,39,20
882.0,15666.0,15708.0,399.0,420.0,15687.0,409.5,#acc2d9,2_20,42.0,21.0,42.0_21.0,0,39,21
882.0,16422.0,16464.0,819.0,840.0,16443.0,829.5,#acc2d9,2_34,42.0,21.0,42.0_21.0,0,39,22
882.0,16758.0,16800.0,1008.0,1029.0,16779.0,1018.5,#acc2d9,2_18,42.0,21.0,42.0_21.0,0,39,23
882.0,19089.0,19131.0,2310.0,2331.0,19110.0,2320.5,#acc2d9,2_7,42.0,21.0,42.0_21.0,0,39,24
882.0,17850.0,17892.0,1617.0,1638.0,17871.0,1627.5,#acc2d9,2_6,42.0,21.0,42.0_21.0,0,39,25
882.0,15897.0,15939.0,525.0,546.0,15918.0,535.5,#acc2d9,2_37,42.0,21.0,42.0_21.0,0,39,26
882.0,12075.0,12117.0,1407.0,1428.0,12096.0,1417.5,#acc2d9,2_3,42.0,21.0,42.0_21.0,0,39,27
882.0,2352.0,2373.0,8988.0,9030.0,2362.5,9009.0,#56ae57,1_2,21.0,42.0,21.0_42.0,1,31,12
882.0,12705.0,12726.0,8316.0,8358.0,12715.5,8337.0,#56ae57,1_17,21.0,42.0,21.0_42.0,1,31,13
882.0,11928.0,11949.0,9135.0,9177.0,11938.5,9156.0,#56ae57,1_0,21.0,42.0,21.0_42.0,1,31,14
882.0,2415.0,2436.0,9051.0,9093.0,2425.5,9072.0,#56ae57,1_1,21.0,42.0,21.0_42.0,1,31,15
